Datetime,Open,High,Low,Close,Volume
2024-03-21 03:00:00,1.09385,1.09397,1.09373,1.09373,0.0
2024-03-21 04:00:00,1.09385,1.09385,1.09361,1.09373,0.0
2024-03-21 05:00:00,1.09361,1.09397,1.09349,1.09349,0.0
2024-03-21 06:00:00,1.09361,1.09409,1.09361,1.09397,0.0
2024-03-21 07:00:00,1.09397,1.09457,1.0929,1.09314,0.0
2024-03-21 08:00:00,1.0929,1.09314,1.08921,1.08956,0.0
2024-03-21 09:00:00,1.08944,1.0917,1.08932,1.09158,0.0
2024-03-21 10:00:00,1.0917,1.09266,1.09158,1.0923,0.0
2024-03-21 11:00:00,1.09218,1.0923,1.09087,1.09123,0.0
2024-03-21 12:00:00,1.09111,1.09194,1.09075,1.09158,0.0
2024-03-21 13:00:00,1.09146,1.09146,1.08873,1.08885,0.0
2024-03-21 14:00:00,1.08885,1.08885,1.08743,1.08826,0.0
2024-03-21 15:00:00,1.08826,1.08826,1.08589,1.08637,0.0
2024-03-21 16:00:00,1.08648,1.08672,1.08613,1.08637,0.0
2024-03-21 17:00:00,1.08637,1.08696,1.08589,1.08601,0.0
2024-03-21 18:00:00,1.08613,1.0866,1.08613,1.08648,0.0
2024-03-21 19:00:00,1.08648,1.08648,1.08589,1.08589,0.0
2024-03-21 20:00:00,1.08601,1.08625,1.08601,1.08625,0.0
2024-03-21 21:00:00,1.08637,1.08648,1.08589,1.08637,0.0
2024-03-21 22:00:00,1.08648,1.08648,1.08637,1.08648,0.0
2024-03-21 23:00:00,1.08648,1.0866,1.08637,1.08648,0.0
2024-03-22 00:00:00,1.0866,1.08707,1.08648,1.08684,0.0
2024-03-22 01:00:00,1.08684,1.08684,1.0853,1.0853,0.0
2024-03-22 02:00:00,1.08542,1.08542,1.08425,1.08425,0.0
2024-03-22 03:00:00,1.08425,1.08436,1.08401,1.08413,0.0
2024-03-22 04:00:00,1.08413,1.08413,1.08342,1.08366,0.0
2024-03-22 05:00:00,1.08378,1.08448,1.08378,1.08448,0.0
2024-03-22 06:00:00,1.08425,1.08425,1.08307,1.08331,0.0
2024-03-22 07:00:00,1.08366,1.08366,1.08249,1.08272,0.0
2024-03-22 08:00:00,1.08307,1.08307,1.0812,1.08155,0.0
2024-03-22 09:00:00,1.08202,1.0826,1.08178,1.0819,0.0
2024-03-22 10:00:00,1.0819,1.08237,1.08178,1.08202,0.0
